"Compound"	"Species"	"Concentration"	"Unit"	"BiologicalReplicate"	"TechnicalReplicate"	"Liver integrity (%)"	"Date"	"RET dose (mg/kg bw)"	"DOSEORIGINALUNIT"	"CMAXULIV"	"Response"
"RTS"	"mouse"	31.25	"uM"	"2"	"b"	94.7803745085313	2021-07-30	52.4807460249773	"mgperkgbw"	31.6	5.21962549146869
"RTS"	"mouse"	31.25	"uM"	"2"	"c"	95.2486442705344	2021-07-30	52.4807460249773	"mgperkgbw"	31.6	4.75135572946559
"RTS"	"mouse"	31.25	"uM"	"3"	"a"	95.1720948198747	2021-08-20	52.4807460249773	"mgperkgbw"	31.6	4.82790518012526
"RTS"	"mouse"	31.25	"uM"	"3"	"b"	97.006383670814	2021-08-20	52.4807460249773	"mgperkgbw"	31.6	2.99361632918601
"RTS"	"mouse"	31.25	"uM"	"3"	"c"	96.8859274619826	2021-08-20	52.4807460249773	"mgperkgbw"	31.6	3.11407253801744
"RTS"	"mouse"	62.5	"uM"	"2"	"a"	95.1070369198256	2021-07-30	97.7237220955811	"mgperkgbw"	62.2	4.89296308017443
"RTS"	"mouse"	62.5	"uM"	"2"	"b"	95.2888736315312	2021-07-30	97.7237220955811	"mgperkgbw"	62.2	4.71112636846875
"RTS"	"mouse"	62.5	"uM"	"2"	"c"	93.2516587906518	2021-07-30	97.7237220955811	"mgperkgbw"	62.2	6.74834120934823
"RTS"	"mouse"	62.5	"uM"	"3"	"a"	90.4255102870619	2021-08-20	97.7237220955811	"mgperkgbw"	62.2	9.57448971293815
"RTS"	"mouse"	62.5	"uM"	"3"	"b"	89.7012482719362	2021-08-20	97.7237220955811	"mgperkgbw"	62.2	10.2987517280638
"RTS"	"mouse"	62.5	"uM"	"3"	"c"	92.9367935268764	2021-08-20	97.7237220955811	"mgperkgbw"	62.2	7.06320647312356
"RTS"	"mouse"	125	"uM"	"2"	"a"	71.878603880256	2021-07-30	177.827941003892	"mgperkgbw"	126	28.121396119744
"RTS"	"mouse"	125	"uM"	"2"	"b"	68.7069210592659	2021-07-30	177.827941003892	"mgperkgbw"	126	31.2930789407341
"RTS"	"mouse"	125	"uM"	"2"	"c"	66.0115538724783	2021-07-30	177.827941003892	"mgperkgbw"	126	33.9884461275217
"RTS"	"mouse"	125	"uM"	"3"	"a"	79.7079572253395	2021-08-20	177.827941003892	"mgperkgbw"	126	20.2920427746605
"RTS"	"mouse"	125	"uM"	"3"	"b"	82.5912824266081	2021-08-20	177.827941003892	"mgperkgbw"	126	17.4087175733919
"RTS"	"mouse"	125	"uM"	"3"	"c"	82.0972594941856	2021-08-20	177.827941003892	"mgperkgbw"	126	17.9027405058144
"RTS"	"mouse"	250	"uM"	"2"	"a"	34.1820834517865	2021-07-30	309.029543251359	"mgperkgbw"	249	65.8179165482135
"RTS"	"mouse"	250	"uM"	"2"	"b"	34.1917384984257	2021-07-30	309.029543251359	"mgperkgbw"	249	65.8082615015743
"RTS"	"mouse"	250	"uM"	"2"	"c"	32.5246337787171	2021-07-30	309.029543251359	"mgperkgbw"	249	67.4753662212829
"RTS"	"mouse"	250	"uM"	"3"	"a"	43.0984183134098	2021-08-20	309.029543251359	"mgperkgbw"	249	56.9015816865902
"RTS"	"mouse"	250	"uM"	"3"	"b"	45.4023339025779	2021-08-20	309.029543251359	"mgperkgbw"	249	54.5976660974221
"RTS"	"mouse"	250	"uM"	"3"	"c"	45.0912824266081	2021-08-20	309.029543251359	"mgperkgbw"	249	54.9087175733919
