"Compound"	"Species"	"Concentration"	"Unit"	"BiologicalReplicate"	"TechnicalReplicate"	"Liver integrity (%)"	"Date"	"RET dose (mg/kg bw)"	"DOSEORIGINALUNIT"	"CMAXULIV"	"Response"
"RTS"	"rat"	7.81	"uM"	"1"	"c"	95.0879743579934	2021-08-27	17.3780082874938	"mgperkgbw"	7.75	4.91202564200663
"RTS"	"rat"	7.81	"uM"	"2"	"a"	96.2674737569226	2021-09-03	17.3780082874938	"mgperkgbw"	7.75	3.73252624307739
"RTS"	"rat"	7.81	"uM"	"2"	"b"	97.8450530451553	2021-09-03	17.3780082874938	"mgperkgbw"	7.75	2.15494695484473
"RTS"	"rat"	7.81	"uM"	"2"	"c"	98.1217582961664	2021-09-03	17.3780082874938	"mgperkgbw"	7.75	1.87824170383355
"RTS"	"rat"	7.81	"uM"	"3"	"a"	99.565708081544	2021-09-10	17.3780082874938	"mgperkgbw"	7.75	0.434291918455969
"RTS"	"rat"	7.81	"uM"	"3"	"b"	103.29576136802	2021-09-10	17.3780082874938	"mgperkgbw"	7.75	-3.29576136801954
"RTS"	"rat"	7.81	"uM"	"3"	"c"	99.8428548979271	2021-09-10	17.3780082874938	"mgperkgbw"	7.75	0.157145102072889
"RTS"	"rat"	15.625	"uM"	"1"	"a"	94.8737241698868	2021-08-27	33.8844156139203	"mgperkgbw"	15.6	5.12627583011319
"RTS"	"rat"	15.625	"uM"	"1"	"b"	94.8188863241214	2021-08-27	33.8844156139203	"mgperkgbw"	15.6	5.18111367587856
"RTS"	"rat"	15.625	"uM"	"1"	"c"	95.1989253482628	2021-08-27	33.8844156139203	"mgperkgbw"	15.6	4.80107465173715
"RTS"	"rat"	15.625	"uM"	"2"	"a"	95.9248863032897	2021-09-03	33.8844156139203	"mgperkgbw"	15.6	4.07511369671029
"RTS"	"rat"	15.625	"uM"	"2"	"b"	96.5873019041953	2021-09-03	33.8844156139203	"mgperkgbw"	15.6	3.4126980958047
"RTS"	"rat"	15.625	"uM"	"2"	"c"	97.4797062851621	2021-09-03	33.8844156139203	"mgperkgbw"	15.6	2.52029371483788
"RTS"	"rat"	15.625	"uM"	"3"	"a"	96.7170959585137	2021-09-10	33.8844156139203	"mgperkgbw"	15.6	3.28290404148632
"RTS"	"rat"	15.625	"uM"	"3"	"b"	100.344290632723	2021-09-10	33.8844156139203	"mgperkgbw"	15.6	-0.344290632723315
"RTS"	"rat"	15.625	"uM"	"3"	"c"	99.1914170202432	2021-09-10	33.8844156139203	"mgperkgbw"	15.6	0.808582979756849
"RTS"	"rat"	31.25	"uM"	"1"	"a"	96.7394862246481	2021-08-27	64.5654229034656	"mgperkgbw"	30.9	3.26051377535187
"RTS"	"rat"	31.25	"uM"	"1"	"b"	94.5115393280876	2021-08-27	64.5654229034656	"mgperkgbw"	30.9	5.48846067191239
"RTS"	"rat"	31.25	"uM"	"1"	"c"	94.5778548625016	2021-08-27	64.5654229034656	"mgperkgbw"	30.9	5.42214513749845
"RTS"	"rat"	31.25	"uM"	"2"	"a"	92.095333543624	2021-09-03	64.5654229034656	"mgperkgbw"	30.9	7.90466645637599
